Entity,Day,Average Confirmed Daily Cases of Monkeypox
San Marino,1/10/2025,0
Serbia,1/1/2025,0
Serbia,1/2/2025,0
Serbia,1/3/2025,0
Serbia,1/4/2025,0
Serbia,1/5/2025,0
Serbia,1/6/2025,0
Serbia,1/7/2025,0
Serbia,1/8/2025,0
Serbia,1/9/2025,0
Serbia,1/10/2025,0
Sierra Leone,1/5/2025,0
Sierra Leone,1/6/2025,0
Sierra Leone,1/7/2025,0
Sierra Leone,1/8/2025,0
Sierra Leone,1/9/2025,0
Sierra Leone,1/10/2025,0
Singapore,1/1/2025,0.14
Singapore,1/2/2025,0.14
Singapore,1/3/2025,0
Singapore,1/4/2025,0
Singapore,1/5/2025,0
Singapore,1/6/2025,0
Singapore,1/7/2025,0
Singapore,1/8/2025,0
Singapore,1/9/2025,0
Singapore,1/10/2025,0
Slovakia,1/1/2025,0
Slovakia,1/2/2025,0
Slovakia,1/3/2025,0
Slovakia,1/4/2025,0
Slovakia,1/5/2025,0
Slovakia,1/6/2025,0
Slovakia,1/7/2025,0
Slovakia,1/8/2025,0
Slovakia,1/9/2025,0
Slovakia,1/10/2025,0.14
Slovenia,1/1/2025,0
Slovenia,1/2/2025,0
Slovenia,1/3/2025,0
Slovenia,1/4/2025,0
Slovenia,1/5/2025,0
Slovenia,1/6/2025,0
Slovenia,1/7/2025,0
Slovenia,1/8/2025,0
Slovenia,1/9/2025,0
Slovenia,1/10/2025,0
South Africa,1/1/2025,0
South Africa,1/2/2025,0
South Africa,1/3/2025,0
South Africa,1/4/2025,0
South Africa,1/5/2025,0
South Africa,1/6/2025,0
South Africa,1/7/2025,0
South Africa,1/8/2025,0
South Africa,1/9/2025,0
South Africa,1/10/2025,0
South America,1/1/2025,4.43
South America,1/2/2025,4.43
South America,1/3/2025,4.43
South America,1/4/2025,4.43
South America,1/5/2025,4.43
South America,1/6/2025,3.57
South America,1/7/2025,3.57
South America,1/8/2025,3.57
South America,1/9/2025,3.57
South America,1/10/2025,3.57
South Korea,1/1/2025,0
South Korea,1/2/2025,0
South Korea,1/3/2025,0
South Korea,1/4/2025,0
South Korea,1/5/2025,0
South Korea,1/6/2025,0
South Korea,1/7/2025,0
South Korea,1/8/2025,0
South Korea,1/9/2025,0
South Korea,1/10/2025,0
Spain,1/1/2025,5.43
Spain,1/2/2025,5.43
Spain,1/3/2025,5.43
Spain,1/4/2025,5.43
Spain,1/5/2025,5.43
Spain,1/6/2025,5.43
Spain,1/7/2025,0
Spain,1/8/2025,0
Spain,1/9/2025,0
Spain,1/10/2025,4.71
Sri Lanka,1/1/2025,0
Sri Lanka,1/2/2025,0
Sri Lanka,1/3/2025,0
Sri Lanka,1/4/2025,0
Sri Lanka,1/5/2025,0
Sri Lanka,1/6/2025,0
Sri Lanka,1/7/2025,0
Sri Lanka,1/8/2025,0
Sri Lanka,1/9/2025,0
Sri Lanka,1/10/2025,0
Sweden,1/1/2025,0.14
Sweden,1/2/2025,0.14
Sweden,1/3/2025,0.14
Sweden,1/4/2025,0.14
Sweden,1/5/2025,0.14
Sweden,1/6/2025,0.14
Sweden,1/7/2025,0
Sweden,1/8/2025,0
Sweden,1/9/2025,0
Sweden,1/10/2025,2.86
Switzerland,1/1/2025,0.57
Switzerland,1/2/2025,0.57
Switzerland,1/3/2025,0.57
Switzerland,1/4/2025,0.57
Switzerland,1/5/2025,0.57
Switzerland,1/6/2025,0.57
Switzerland,1/7/2025,0
Switzerland,1/8/2025,0
Switzerland,1/9/2025,0
Switzerland,1/10/2025,0
Thailand,1/1/2025,0
Thailand,1/2/2025,0
Thailand,1/3/2025,0
Thailand,1/4/2025,0
Thailand,1/5/2025,0
Thailand,1/6/2025,0
Thailand,1/7/2025,0
Thailand,1/8/2025,0
Thailand,1/9/2025,0
Thailand,1/10/2025,0
Trinidad and Tobago,1/1/2025,0
Trinidad and Tobago,1/2/2025,0
Trinidad and Tobago,1/3/2025,0
Trinidad and Tobago,1/4/2025,0
Trinidad and Tobago,1/5/2025,0
Trinidad and Tobago,1/6/2025,0
Trinidad and Tobago,1/7/2025,0
Trinidad and Tobago,1/8/2025,0
Trinidad and Tobago,1/9/2025,0
Trinidad and Tobago,1/10/2025,0
Turkey,1/1/2025,0
Turkey,1/2/2025,0
Turkey,1/3/2025,0
Turkey,1/4/2025,0
Turkey,1/5/2025,0
Turkey,1/6/2025,0
Turkey,1/7/2025,0
Turkey,1/8/2025,0
Turkey,1/9/2025,0
Turkey,1/10/2025,2.86
Uganda,1/1/2025,32.43
Uganda,1/2/2025,32.43
Uganda,1/3/2025,32.43
Uganda,1/4/2025,32.43
Uganda,1/5/2025,28.43
Uganda,1/6/2025,28.43
Uganda,1/7/2025,28.43
Uganda,1/8/2025,28.43
Uganda,1/9/2025,28.43
Uganda,1/10/2025,28.43
Ukraine,1/1/2025,0
Ukraine,1/2/2025,0
Ukraine,1/3/2025,0
Ukraine,1/4/2025,0
Ukraine,1/5/2025,0
Ukraine,1/6/2025,0
Ukraine,1/7/2025,0
Ukraine,1/8/2025,0
Ukraine,1/9/2025,0
Ukraine,1/10/2025,0
United Arab Emirates,1/1/2025,0
United Arab Emirates,1/2/2025,0
United Arab Emirates,1/3/2025,0
United Arab Emirates,1/4/2025,0
United Arab Emirates,1/5/2025,0
United Arab Emirates,1/6/2025,0
United Arab Emirates,1/7/2025,0
United Arab Emirates,1/8/2025,0
United Arab Emirates,1/9/2025,0
United Arab Emirates,1/10/2025,0
United Kingdom,1/1/2025,2.86
United Kingdom,1/2/2025,2.86
United Kingdom,1/3/2025,2.86
United Kingdom,1/4/2025,2.86
United Kingdom,1/5/2025,2.86
United Kingdom,1/6/2025,2.86
United Kingdom,1/7/2025,0
United Kingdom,1/8/2025,0
United Kingdom,1/9/2025,0
United Kingdom,1/10/2025,2.57
United States,1/1/2025,3.29
United States,1/2/2025,3.29
United States,1/3/2025,3.29
United States,1/4/2025,3.29
United States,1/5/2025,3.29
United States,1/6/2025,2
United States,1/7/2025,2
United States,1/8/2025,2
United States,1/9/2025,2
United States,1/10/2025,2
Uruguay,1/1/2025,0
Uruguay,1/2/2025,0
Uruguay,1/3/2025,0
Uruguay,1/4/2025,0
Uruguay,1/5/2025,0
Uruguay,1/6/2025,0
Uruguay,1/7/2025,0
Uruguay,1/8/2025,0
Uruguay,1/9/2025,0
Uruguay,1/10/2025,0
Venezuela,1/1/2025,0
Venezuela,1/2/2025,0
Venezuela,1/3/2025,0
Venezuela,1/4/2025,0
Venezuela,1/5/2025,0
Venezuela,1/6/2025,0
Venezuela,1/7/2025,0
Venezuela,1/8/2025,0
Venezuela,1/9/2025,0
Venezuela,1/10/2025,0
Vietnam,1/1/2025,0
Vietnam,1/2/2025,0
Vietnam,1/3/2025,0
Vietnam,1/4/2025,0
Vietnam,1/5/2025,0
Vietnam,1/6/2025,0
Vietnam,1/7/2025,0
Vietnam,1/8/2025,0
Vietnam,1/9/2025,0
Vietnam,1/10/2025,0
Zambia,1/1/2025,0
Zambia,1/2/2025,0
Zambia,1/3/2025,0
Zambia,1/4/2025,0
Zambia,1/5/2025,0.14
Zambia,1/6/2025,0.14
Zambia,1/7/2025,0.14
Zambia,1/8/2025,0.14
Zambia,1/9/2025,0.14
Zambia,1/10/2025,0.14
